Seconds,Torque
0,2100
1,2102
2,2100
3,2109
4,2100
5,2103
6,2101
7,2101
8,2102
9,2101
10,2105
11,2102
12,2100
13,2103
14,2105
15,2102
16,2099
17,2099
18,2107
19,2103
20,2133
21,2107
22,2107
23,2103
24,2103
25,2106
26,2102
27,2086
28,2098
29,2104
30,2104
31,2100
32,2104
33,2104
34,2108
35,2108
36,2110
37,2106
38,2100
39,2106
40,2104
41,2102
42,2102
43,2109
44,2110
45,2109
46,2117
47,2108
48,2108
49,2104
50,2104
51,2103
52,2106
53,2104
54,2104
55,2109
56,2108
57,2105
58,2107
59,2107
60,2108
61,2108
62,2109
63,2104
64,2108
65,2106
66,2112
67,2106
68,2106
69,2104
70,2105
71,2107
72,2110
73,2106
74,2106
75,2106
76,2107
77,2108
78,2104
79,2110
80,2119
81,2104
82,2106
83,2106
84,2111
85,2107
86,2107
87,2105
88,2107
89,2111
90,2108
91,2104
92,2110
93,2108
94,2121
95,2103
96,2110
97,2108
98,2108
99,2115
100,2110
101,2110
102,2107
103,2108
104,2109
105,2108
106,2109
107,2112
108,2115
109,2114
110,2111
111,2108
112,2106
113,2107
114,2102
115,2105
116,2111
117,2111
118,2114
119,2108
120,2106
121,2107
122,2108
123,2122
124,2107
125,2110
126,2108
127,2110
128,2108
129,2106
130,2105
131,2108
132,2108
133,2120
134,2106
135,2108
136,2108
137,2108
138,2112
139,2106
140,2108
141,2106
142,2106
143,2107
144,2108
145,2110
146,2108
147,2108
148,2109
149,2110
150,2112
151,2100
152,2105
153,2107
154,2109
155,2134
156,2109
157,2105
158,2108
159,2110
160,2107
161,2120
162,2108
163,2108
164,2107
165,2110
166,2109
167,2112
168,2109
169,2105
170,2106
171,2105
172,2108
173,2108
174,2108
175,2107
176,2108
177,2108
178,2107
179,2106
180,2109
181,2110
182,2108
183,2110
184,2112
185,2109
186,2109
187,2068
188,2110
189,2106
190,2108
191,2109
192,2110
193,2107
194,2110
195,2103
196,2107
197,2106
198,2108
199,2108
200,2108
201,2099
202,2108
203,2110
204,2109
205,2109
206,2108
207,2108
208,2110
209,2111
210,2108
211,2107
212,2108
213,2107
214,2103
215,2106
216,2105
217,2108
218,2108
219,2108
220,2112
221,2110
222,2109
223,2109
224,2112
