Seconds,Torque
0,2100
1,2106
2,2101
3,2098
4,2102
5,2100
6,2100
7,2098
8,2102
9,2099
10,2099
11,2099
12,2100
13,2107
14,2083
15,2115
16,2101
17,2105
18,2105
19,2104
20,2105
21,2103
22,2094
23,2114
24,2102
25,2102
26,2104
27,2103
28,2100
29,2105
30,2108
31,2106
32,2103
33,2098
34,2050
35,2104
36,2105
37,2109
38,2104
39,2114
40,2103
41,2106
42,2105
43,2104
44,2110
45,2106
46,2104
47,2104
48,2105
49,2106
50,2106
51,2106
52,2116
53,2100
54,2106
55,2112
56,2109
57,2108
58,2109
59,2104
60,2105
61,2108
62,2109
63,2110
64,2107
65,2105
66,2107
67,2091
68,2102
69,2097
70,2109
71,2108
72,2110
73,2108
74,2108
75,2083
76,2102
77,2105
78,2106
79,2103
80,2105
81,2106
82,2110
83,2107
84,2108
85,2103
86,2104
87,2085
88,2109
89,2109
90,2109
91,2109
92,2110
93,2105
94,2108
95,2110
96,2104
97,2106
98,2108
99,2105
100,2104
101,2105
102,2105
103,2108
104,2097
105,2112
106,2108
107,2107
108,2110
109,2108
110,2108
111,2107
112,2107
113,2108
114,2110
115,2105
116,2094
117,2106
118,2108
119,2110
120,2102
121,2108
122,2113
123,2108
124,2112
125,2110
126,2105
127,2107
128,2108
129,2104
130,2109
131,2108
132,2104
133,2108
134,2108
135,2104
136,2108
137,2109
138,2107
139,2111
140,2102
141,2108
142,2108
143,2108
144,2112
145,2117
146,2111
147,2110
148,2105
149,2105
150,2100
151,2106
152,2105
153,2106
154,2104
155,2106
156,2104
157,2089
158,2109
159,2111
160,2109
161,2110
162,2109
163,2110
164,2040
165,2109
166,2108
167,2109
168,2104
169,2110
170,2105
171,2106
172,2108
173,2111
174,2106
175,2110
176,2112
177,2111
178,2110
179,2106
180,2099
181,2110
182,2109
183,2108
184,2104
185,2105
186,2101
187,2108
188,2107
189,2113
190,2109
191,2114
192,2105
193,2110
194,2111
195,2108
196,2110
197,2109
198,2109
199,2110
200,2111
201,2108
202,2110
203,2103
204,2104
205,2105
206,2106
207,2107
208,2097
209,2087
210,2108
211,2110
212,2108
213,2109
214,2112
215,2106
216,2105
217,2077
218,2109
219,2109
220,2108
221,2106
222,2105
223,2111
224,2105
225,2113
226,2112
227,2108
228,2108
229,2122
230,2110
231,2109
232,2109
233,2108
234,2109
235,2111
236,2108
237,2109
238,2107
239,2105
240,2101
241,2107
242,2106
243,2110
244,2110
245,2118
246,2105
247,2107
248,2106
249,2109
250,2111
251,2106
252,2107
253,2108
254,2107
255,2109
256,2108
257,2106
258,2100
259,2104
260,2098
261,2107
262,2120
263,2109
264,2108
265,2109
266,2113
267,2110
268,2108
269,2104
270,2132
271,2109
272,2110
273,2104
274,2108
275,2106
276,2105
277,2108
278,2109
279,2108
280,2103
281,2100
282,2109
283,2105
284,2110
285,2108
286,2110
287,2108
288,2105
