Seconds, Torque
0,2101
1,2095
2,2100
3,2098
4,2098
5,2095
6,2094
7,2094
8,2099
9,2117
10,2088
11,2103
12,2106
13,2105
14,2103
15,2103
16,2103
17,2096
18,2102
19,2076
20,2096
21,2100
22,2101
23,2100
24,2100
25,2103
26,2105
27,2108
28,2116
29,2108
30,2107
31,2110
32,2107
33,2105
34,2105
35,2104
36,2104
37,2101
38,2102
39,2104
40,2102
41,2098
42,2104
43,2123
44,2105
45,2104
46,2111
47,2105
48,2108
49,2107
50,2108
51,2108
52,2105
53,2105
54,2103
55,2104
56,2104
57,2104
58,2110
59,2105
60,2109
61,2100
62,2052
63,2108
64,2110
65,2109
66,2108
67,2108
68,2110
69,2106
70,2105
71,2105
72,2112
73,2100
74,2107
75,2103
76,2104
77,2104
78,2106
79,2105
80,2106
81,2116
82,2107
83,2110
84,2110
85,2104
86,2104
87,2105
88,2105
89,2100
90,2101
91,2104
92,2104
93,2100
94,2108
95,2105
96,2084
97,2107
98,2106
99,2111
100,2107
101,2109
102,2112
103,2108
104,2108
105,2108
106,2105
107,2103
108,2103
109,2106
110,2104
111,2104
112,2103
113,2104
114,2109
115,2091
116,2103
117,2112
118,2109
119,2109
120,2109
121,2109
122,2108
123,2107
124,2108
125,2119
126,2103
127,2105
128,2104
129,2105
130,2108
131,2104
132,2117
133,2107
134,2107
135,2106
136,2112
137,2110
138,2111
139,2110
140,2103
141,2104
142,2104
143,2104
144,2102
145,2101
146,2103
147,2109
148,2107
149,2104
150,2095
151,2108
152,2108
153,2112
154,2110
155,2112
156,2109
157,2107
158,2110
159,2106
160,2109
161,2100
162,2102
163,2101
164,2105
165,2104
166,2108
167,2106
168,2113
169,2106
170,2109
171,2112
172,2111
173,2112
174,2110
175,2117
176,2105
177,2103
178,2095
179,2105
180,2105
181,2104
182,2105
183,2106
184,2102
185,2108
186,2110
187,2109
188,2111
189,2111
190,2110
191,2105
192,2116
193,2108
194,2101
195,2105
196,2106
197,2107
198,2102
199,2103
200,2122
201,2113
202,2103
203,2103
204,2112
205,2108
206,2108
207,2115
208,2109
209,2110
210,2108
211,2103
212,2106
213,2103
214,2105
215,2100
216,2105
217,2108
218,2106
219,2111
220,2107
221,2105
222,2108
223,2113
224,2112
225,2110
226,2118
227,2110
228,2109
229,2107
230,2107
231,2097
232,2102
233,2104
234,2105
235,2102
236,2100
237,2087
238,2110
239,2107
240,2111
241,2106
242,2110
243,2108
244,2111
245,2104
246,2105
247,2105
248,2104
249,2107
250,2108
251,2100
252,2100
253,2114
254,2106
255,2104
256,2145
257,2112
258,2111
259,2110
260,2113
261,2112
262,2107
263,2106
264,2108
265,2104
266,2104
267,2101
268,2102
269,2103
270,2106
271,2108
272,2107
273,2106
274,2110
275,2103
276,2110
277,2112
278,2109
279,2112
280,2111
281,2110
282,2104
283,2104
284,2108
285,2100
286,2107
287,2107
288,2110
289,2100
290,2104
291,2108
292,2110
293,2108
294,2109
295,2112
296,2113
297,2113
298,2111
299,2108
300,2106
301,2102
302,2104
303,2104
304,2105
305,2101
306,2108
307,2107
308,2105
309,2138
310,2112
311,2112
312,2110
313,2114
314,2110
315,2106
316,2111
317,2108
318,2106
319,2101
320,2107
321,2108
322,2104
323,2105
324,2106
325,2107
326,2102
327,2112
328,2114
329,2110
330,2112
331,2110
332,2112
333,2118
334,2109
335,2103
336,2106
337,2103
338,2101
339,2105
340,2114
341,2104
342,2105
343,2127
344,2109
345,2108
346,2112
347,2112
348,2110
349,2108
350,2111
351,2110
352,2098
353,2101
354,2110
355,2103
356,2102
357,2101
358,2104
359,2105
360,2106
361,2105
362,2108
363,2112
364,2111
365,2108
366,2108
367,2111
368,2104
369,2112
370,2111
371,2102
372,2098
373,2105
374,2104
375,2100
376,2105
377,2109
378,2110
379,2104
380,2109
381,2106
382,2111
383,2110
384,2110
385,2110
386,2107
387,2106
388,2105
389,2104
390,2101
391,2104
392,2101
393,2114
394,2104
395,2103
396,2110
397,2109
398,2107
399,2111
400,2114
401,2105
402,2109
403,2110
404,2110
405,2103
406,2104
407,2109
408,2112
409,2100
410,2106
411,2106
412,2110
413,2102
414,2105
415,2083
416,2150
417,2109
418,2110
419,2110
420,2111
421,2106
422,2099
423,2105
424,2108
425,2107
426,2105
427,2105
428,2100
429,2103
430,2108
431,2106
432,2096
433,2116
434,2111
435,2108
436,2112
437,2110
438,2112
439,2104
440,2110
441,2108
442,2106
443,2103
444,2102
445,2102
446,2112
447,2109
448,2107
449,2102
450,2107
451,2110
452,2107
453,2113
454,2112
455,2108
456,2114
457,2110
458,2105
459,2103
460,2105
461,2101
462,2103
463,2102
464,2104
465,2102
466,2102
467,2122
468,2106
469,2120
470,2112
471,2109
472,2111
473,2110
474,2108
475,2105
476,2104
477,2105
478,2093
479,2103
480,2103
481,2103
482,2105
483,2107
484,2100
485,2106
486,2110
487,2112
488,2109
489,2106
490,2111
491,2103
492,2109
493,2110
494,2104
495,2104
496,2103
497,2104
498,2103
499,2110
500,2106
501,2108
502,2111
503,2107
504,2112
505,2109
506,2112
507,2110
508,2112
509,2108
510,2104
511,2104
512,2108
513,2104
514,2109
515,2104
516,2107
517,2104
518,2105
519,2111
520,2105
521,2113
522,2112
523,2113
